#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
749,dart_2024-06-30_role-DB815000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB815000b,link:definitionLink ,"[DB815000b] 주석 - 무형자산, 은행 - 연결 | Notes - Intangible assets, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
750,dart_2024-06-30_role-DB815000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB815000c,link:definitionLink ,"[DB815000c] 주석 - 무형자산, 은행 - 연결 | Notes - Intangible assets, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
751,dart_2024-06-30_role-DS814100,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS814100,link:presentationLink link:definitionLink ,"[DS814100] 주석 - 리스/사용권자산, 증권 - 연결 | Notes - Right-of-use assets, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
752,dart_2024-06-30_role-DS814200,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS814200,link:presentationLink link:definitionLink ,"[DS814200] 주석 - 리스/리스부채, 증권 - 연결 | Notes - Lease liabilites, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
753,dart_2024-06-30_role-DS804000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS804000a,link:definitionLink ,"[DS804000a] 주석 - 부문정보, 증권 - 연결 | Notes - Operating segments, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
754,dart_2024-06-30_role-DS804000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS804000b,link:definitionLink ,"[DS804000b] 주석 - 부문정보, 증권 - 연결 | Notes - Operating segments, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
755,dart_2024-06-30_role-DS804000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS804000c,link:definitionLink ,"[DS804000c] 주석 - 부문정보, 증권 - 연결 | Notes - Operating segments, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
756,dart_2024-06-30_role-DS813000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS813000,link:presentationLink link:definitionLink ,"[DS813000] 주석 - 투자부동산, 증권 - 연결 | Notes - Investment property, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
757,dart_2024-06-30_role-DS811000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS811000a,link:definitionLink ,"[DS811000a] 주석 - 종속기업, 공동기업과 관계기업에 대한 투자자산, 증권 - 연결 | Notes - Interests in subsidiaries, joint ventures and associates, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
758,dart_2024-06-30_role-DS811000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS811000b,link:definitionLink ,"[DS811000b] 주석 - 종속기업, 공동기업과 관계기업에 대한 투자자산, 증권 - 연결 | Notes - Interests in subsidiaries, joint ventures and associates, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
759,dart_2024-06-30_role-DS811000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS811000c,link:definitionLink ,"[DS811000c] 주석 - 종속기업, 공동기업과 관계기업에 대한 투자자산, 증권 - 연결 | Notes - Interests in subsidiaries, joint ventures and associates, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
760,dart_2024-06-30_role-DS811000d,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS811000d,link:definitionLink ,"[DS811000d] 주석 - 종속기업, 공동기업과 관계기업에 대한 투자자산, 증권 - 연결 | Notes - Interests in subsidiaries, joint ventures and associates, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
761,dart_2024-06-30_role-DS811000e,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS811000e,link:definitionLink ,"[DS811000e] 주석 - 종속기업, 공동기업과 관계기업에 대한 투자자산, 증권 - 연결 | Notes - Interests in subsidiaries, joint ventures and associates, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
762,dart_2024-06-30_role-DS811000f,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS811000f,link:definitionLink ,"[DS811000f] 주석 - 종속기업, 공동기업과 관계기업에 대한 투자자산, 증권 - 연결 | Notes - Interests in subsidiaries, joint ventures and associates, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
763,dart_2024-06-30_role-DS821000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS821000,link:definitionLink link:presentationLink ,"[DS821000] 주석 - 충당부채, 증권 - 연결 | Notes - Provisions, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
764,dart_2024-06-30_role-DS827000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS827000,link:presentationLink link:definitionLink ,"[DS827000] 주석 - 순수수료손익, 증권 - 연결 | Notes - Net fee and commission income (expense), Securities Based - Consolidated",dart_all_2024-06-30.xsd,
765,dart_2024-06-30_role-DS815000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS815000a,link:definitionLink ,"[DS815000a] 주석 - 무형자산, 증권 - 연결 | Notes - Intangible assets, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
766,dart_2024-06-30_role-DS815000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS815000b,link:definitionLink ,"[DS815000b] 주석 - 무형자산, 증권 - 연결 | Notes - Intangible assets, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
767,dart_2024-06-30_role-DS815000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS815000c,link:definitionLink ,"[DS815000c] 주석 - 무형자산, 증권 - 연결 | Notes - Intangible assets, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
768,dart_2024-06-30_role-DS820000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS820000a,link:definitionLink ,"[DS820000a] 주석 - 순확정급여부채(자산), 증권 - 연결 | Notes - Net defined benefit liability (asset), Securities Based - Consolidated",dart_all_2024-06-30.xsd,
769,dart_2024-06-30_role-DS820000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS820000b,link:definitionLink ,"[DS820000b] 주석 - 순확정급여부채(자산), 증권 - 연결 | Notes - Net defined benefit liability (asset), Securities Based - Consolidated",dart_all_2024-06-30.xsd,
770,dart_2024-06-30_role-DS820000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS820000c,link:definitionLink ,"[DS820000c] 주석 - 순확정급여부채(자산), 증권 - 연결 | Notes - Net defined benefit liability (asset), Securities Based - Consolidated",dart_all_2024-06-30.xsd,
771,dart_2024-06-30_role-DS820000d,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS820000d,link:definitionLink ,"[DS820000d] 주석 - 순확정급여부채(자산), 증권 - 연결 | Notes - Net defined benefit liability (asset), Securities Based - Consolidated",dart_all_2024-06-30.xsd,
772,dart_2024-06-30_role-DS836000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS836000a,link:definitionLink ,"[DS836000a] 주석 - 주당이익(손실), 증권 - 연결 | Notes - Earnings (loss) per share, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
773,dart_2024-06-30_role-DS838000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS838000a,link:definitionLink ,"[DS838000a] 주석 - 주식기준보상, 증권 - 연결 | Notes - Share-based payment, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
774,dart_2024-06-30_role-DS838000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS838000b,link:definitionLink ,"[DS838000b] 주석 - 주식기준보상, 증권 - 연결 | Notes - Share-based payment, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
775,dart_2024-06-30_role-DS839000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS839000a,link:definitionLink ,"[DS839000a] 주석 - 특수관계자거래, 증권 - 연결 | Notes - Related party, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
776,dart_2024-06-30_role-DS840000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS840000a,link:definitionLink ,"[DS840000a] 주석 - 사업결합, 증권 - 연결 | Notes - Business combination, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
777,dart_2024-06-30_role-DS840000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS840000b,link:definitionLink ,"[DS840000b] 주석 - 사업결합, 증권 - 연결 | Notes - Business combination, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
778,dart_2024-06-30_role-DS840000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS840000c,link:definitionLink ,"[DS840000c] 주석 - 사업결합, 증권 - 연결 | Notes - Business combination, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
779,dart_2024-06-30_role-DS840000d,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS840000d,link:definitionLink ,"[DS840000d] 주석 - 사업결합, 증권 - 연결 | Notes - Business combination, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
780,dart_2024-06-30_role-DI843000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI843000,link:presentationLink link:definitionLink ,"[DI843000] 주석 - 배당수익, 보험 - 연결 | Notes - Dividend income, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
781,dart_2024-06-30_role-DI823100,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI823100,link:presentationLink link:definitionLink ,"[DI823100] 주석 - 리스/사용권자산, 보험 - 연결 | Notes - Right-of-use assets, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
782,dart_2024-06-30_role-DI804000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI804000a,link:definitionLink ,"[DI804000a] 주석 - 부문정보, 보험 - 연결 | Notes - Operating segments, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
783,dart_2024-06-30_role-DI804000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI804000b,link:definitionLink ,"[DI804000b] 주석 - 부문정보, 보험 - 연결 | Notes - Operating segments, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
784,dart_2024-06-30_role-DI804000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI804000c,link:definitionLink ,"[DI804000c] 주석 - 부문정보, 보험 - 연결 | Notes - Operating segments, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
785,dart_2024-06-30_role-DI816000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI816000a,link:definitionLink ,"[DI816000a] 주석 - 종속기업 및 관계기업, 보험 - 연결 | Notes - Subsidiaries and associates, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
786,dart_2024-06-30_role-DI816000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI816000b,link:definitionLink ,"[DI816000b] 주석 - 종속기업 및 관계기업, 보험 - 연결 | Notes - Subsidiaries and associates, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
787,dart_2024-06-30_role-DI816000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI816000c,link:definitionLink ,"[DI816000c] 주석 - 종속기업 및 관계기업, 보험 - 연결 | Notes - Subsidiaries and associates, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
788,dart_2024-06-30_role-DI816000d,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI816000d,link:definitionLink ,"[DI816000d] 주석 - 종속기업 및 관계기업, 보험 - 연결 | Notes - Subsidiaries and associates, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
789,dart_2024-06-30_role-DI816000e,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI816000e,link:definitionLink ,"[DI816000e] 주석 - 종속기업 및 관계기업, 보험 - 연결 | Notes - Subsidiaries and associates, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
790,dart_2024-06-30_role-DI816000f,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI816000f,link:definitionLink ,"[DI816000f] 주석 - 종속기업 및 관계기업, 보험 - 연결 | Notes - Subsidiaries and associates, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
791,dart_2024-06-30_role-DI824000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI824000a,link:definitionLink ,"[DI824000a] 주석 - 무형자산, 보험 - 연결 | Notes - Intangible assets, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
792,dart_2024-06-30_role-DI824000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI824000b,link:definitionLink ,"[DI824000b] 주석 - 무형자산, 보험 - 연결 | Notes - Intangible assets, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
793,dart_2024-06-30_role-DI824000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI824000c,link:definitionLink ,"[DI824000c] 주석 - 무형자산, 보험 - 연결 | Notes - Intangible assets, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
794,dart_2024-06-30_role-DI831000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI831000a,link:definitionLink ,"[DI831000a] 주석 - 순확정급여부채(자산), 보험 - 연결 | Notes - Net defined benefit liability (asset), Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
795,dart_2024-06-30_role-DI831000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI831000b,link:definitionLink ,"[DI831000b] 주석 - 순확정급여부채(자산), 보험 - 연결 | Notes - Net defined benefit liability (asset), Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
796,dart_2024-06-30_role-DI831000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI831000c,link:definitionLink ,"[DI831000c] 주석 - 순확정급여부채(자산), 보험 - 연결 | Notes - Net defined benefit liability (asset), Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
797,dart_2024-06-30_role-DI831000d,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI831000d,link:definitionLink ,"[DI831000d] 주석 - 순확정급여부채(자산), 보험 - 연결 | Notes - Net defined benefit liability (asset), Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
798,dart_2024-06-30_role-DI849000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI849000a,link:definitionLink ,"[DI849000a] 주석 - 주당이익(손실), 보험 - 연결 | Notes - Earnings (loss) per share, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
799,dart_2024-06-30_role-DI851000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI851000a,link:definitionLink ,"[DI851000a] 주석 - 주식기준보상, 보험 - 연결 | Notes - Share-based payment, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
800,dart_2024-06-30_role-DI851000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI851000b,link:definitionLink ,"[DI851000b] 주석 - 주식기준보상, 보험 - 연결 | Notes - Share-based payment, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
801,dart_2024-06-30_role-DI852000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI852000a,link:definitionLink ,"[DI852000a] 주석 - 특수관계자거래, 보험 - 연결 | Notes - Related party, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
802,dart_2024-06-30_role-DI853000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI853000a,link:definitionLink ,"[DI853000a] 주석 - 사업결합, 보험 - 연결 | Notes - Business combination, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
803,dart_2024-06-30_role-DI853000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI853000b,link:definitionLink ,"[DI853000b] 주석 - 사업결합, 보험 - 연결 | Notes - Business combination, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
804,dart_2024-06-30_role-DI853000c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI853000c,link:definitionLink ,"[DI853000c] 주석 - 사업결합, 보험 - 연결 | Notes - Business combination, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
805,dart_2024-06-30_role-DI853000d,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI853000d,link:definitionLink ,"[DI853000d] 주석 - 사업결합, 보험 - 연결 | Notes - Business combination, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
806,dart_2024-06-30_role-DB824000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB824000a,link:definitionLink ,"[DB824000a] 주석 - 자본, 은행 - 연결 | Notes - Equity, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
807,dart_2024-06-30_role-DI834000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI834000a,link:definitionLink ,"[DI834000a] 주석 - 자본, 보험 - 연결 | Notes - Equity, Insurance Based - Consolidated",dart_all_2024-06-30.xsd,
808,dart_2024-06-30_role-DS826000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS826000a,link:definitionLink ,"[DS826000a] 주석 - 자본, 증권 - 연결 | Notes - Equity, Securities Based - Consolidated",dart_all_2024-06-30.xsd,
809,dart_2024-06-30_role-DI859005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI859005,link:presentationLink link:definitionLink ,"[DI859005] 주석 - 이익잉여금 처분계산서, 보험 - 별도 | Notes - Statement of appropriation of retained earnings, Insurance Based - Separate",dart_all_2024-06-30.xsd,
810,dart_2024-06-30_role-DB808000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB808000a,link:definitionLink ,"[DB808000a] 주석 - 기타포괄손익-공정가치측정금융자산, 은행 - 연결 | Notes - Financial assets at fair value through other comprehensive income, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
811,dart_2024-06-30_role-DB808000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB808000b,link:definitionLink ,"[DB808000b] 주석 - 기타포괄손익-공정가치측정금융자산, 은행 - 연결 | Notes - Financial assets at fair value through other comprehensive income, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
812,dart_2024-06-30_role-DB809000a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB809000a,link:definitionLink ,"[DB809000a] 주석 - 상각후원가측정금융자산, 은행 - 연결 | Notes - Financial assets at amortised cost, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
813,dart_2024-06-30_role-DB809000b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB809000b,link:definitionLink ,"[DB809000b] 주석 - 상각후원가측정금융자산, 은행 - 연결 | Notes - Financial assets at amortised cost, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
814,dart_2024-06-30_role-DS847005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS847005,link:presentationLink link:definitionLink ,"[DS847005] 주석 - 이익잉여금 처분계산서, 증권 - 별도 | Notes - Statement of appropriation of retained earnings, Securities Based - Separate",dart_all_2024-06-30.xsd,
815,dart_2024-06-30_role-DB835100l,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835100l,link:definitionLink ,"[DB835100l] 주석 - 금융상품/위험관리, 은행 - 연결 | Notes - Credit risk management, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
816,dart_2024-06-30_role-DB835100m,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835100m,link:definitionLink ,"[DB835100m] 주석 - 금융상품/위험관리, 은행 - 연결 | Notes - Credit risk management, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
817,dart_2024-06-30_role-DB835100n,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835100n,link:definitionLink ,"[DB835100n] 주석 - 금융상품/위험관리, 은행 - 연결 | Notes - Credit risk management, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
818,dart_2024-06-30_role-DB835100o,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835100o,link:definitionLink ,"[DB835100o] 주석 - 금융상품/위험관리, 은행 - 연결 | Notes - Credit risk management, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
819,dart_2024-06-30_role-DB835100j,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835100j,link:definitionLink ,"[DB835100j] 주석 - 금융상품/위험관리, 은행 - 연결 | Notes - Credit risk management, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
820,dart_2024-06-30_role-DB835100i,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835100i,link:definitionLink ,"[DB835100i] 주석 - 금융상품/위험관리, 은행 - 연결 | Notes - Credit risk management, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
821,dart_2024-06-30_role-DB835100h,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835100h,link:definitionLink ,"[DB835100h] 주석 - 금융상품/위험관리, 은행 - 연결 | Notes - Credit risk management, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
822,dart_2024-06-30_role-DB835200a,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200a,link:definitionLink ,"[DB835200a] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
823,dart_2024-06-30_role-DB835200b,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200b,link:definitionLink ,"[DB835200b] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
824,dart_2024-06-30_role-DB835200c,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200c,link:definitionLink ,"[DB835200c] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
825,dart_2024-06-30_role-DB835200d,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200d,link:definitionLink ,"[DB835200d] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
826,dart_2024-06-30_role-DB835200e,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200e,link:definitionLink ,"[DB835200e] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
827,dart_2024-06-30_role-DB835200f,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200f,link:definitionLink ,"[DB835200f] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
828,dart_2024-06-30_role-DB835200g,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200g,link:definitionLink ,"[DB835200g] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
829,dart_2024-06-30_role-DB835200h,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200h,link:definitionLink ,"[DB835200h] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
830,dart_2024-06-30_role-DB835200i,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200i,link:definitionLink ,"[DB835200i] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
831,dart_2024-06-30_role-DB835200j,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200j,link:definitionLink ,"[DB835200j] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
832,dart_2024-06-30_role-DB835200k,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200k,link:definitionLink ,"[DB835200k] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
833,dart_2024-06-30_role-DB835200l,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200l,link:definitionLink ,"[DB835200l] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
834,dart_2024-06-30_role-DB835200m,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200m,link:definitionLink ,"[DB835200m] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
835,dart_2024-06-30_role-DB835200n,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200n,link:definitionLink ,"[DB835200n] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
836,dart_2024-06-30_role-DB835200o,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200o,link:definitionLink ,"[DB835200o] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
837,dart_2024-06-30_role-DB835200p,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200p,link:definitionLink ,"[DB835200p] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
838,dart_2024-06-30_role-DB835200q,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200q,link:definitionLink ,"[DB835200q] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
839,dart_2024-06-30_role-DB835200r,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200r,link:definitionLink ,"[DB835200r] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
840,dart_2024-06-30_role-DB835200s,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200s,link:definitionLink ,"[DB835200s] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
841,dart_2024-06-30_role-DB835200t,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200t,link:definitionLink ,"[DB835200t] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
842,dart_2024-06-30_role-DB835200u,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB835200u,link:definitionLink ,"[DB835200u] 주석 - 금융상품/공정가치, 은행 - 연결 | Notes - Fair value and book value of assets and liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
