#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
32,dart_2024-06-30_role-DI320000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI320000,link:presentationLink link:calculationLink link:definitionLink ,"[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
33,dart_2024-06-30_role-DB320000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB320000,link:presentationLink link:calculationLink link:definitionLink ,"[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
34,dart_2024-06-30_role-DB520000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB520000,link:presentationLink link:calculationLink link:definitionLink ,"[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
35,dart_2024-06-30_role-DI520000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI520000,link:presentationLink link:calculationLink link:definitionLink ,"[DI520000] 현금흐름표, 보험 - 연결 | Statement of Cash Flows, Insurance Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
36,dart_2024-06-30_role-DS520000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS520000,link:presentationLink link:calculationLink link:definitionLink ,"[DS520000] 현금흐름표, 증권 - 연결 | Statement of Cash Flows, Securities Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
37,dart_2024-06-30_role-DX520000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX520000,link:presentationLink link:calculationLink link:definitionLink ,"[DX520000] 현금흐름표, 기타 - 연결 | Statement of Cash Flows, Others - Consolidated financial statements",dart_all_2024-06-30.xsd,
38,dart_2024-06-30_role-DB610000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB610000,link:presentationLink link:calculationLink link:definitionLink ,"[DB610000] 자본변동표, 은행 - 연결 | Statement of Changes in Equity, Deposit Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
39,dart_2024-06-30_role-DI610000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI610000,link:presentationLink link:calculationLink link:definitionLink ,"[DI610000] 자본변동표, 보험 - 연결 | Statement of Changes in Equity, Insurance Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
40,dart_2024-06-30_role-DS610000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS610000,link:presentationLink link:calculationLink link:definitionLink ,"[DS610000] 자본변동표, 증권 - 연결 | Statement of Changes in Equity, Securities Based - Consolidated financial statements",dart_all_2024-06-30.xsd,
41,dart_2024-06-30_role-DX610000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX610000,link:presentationLink link:calculationLink link:definitionLink ,"[DX610000] 자본변동표, 기타 - 연결 | Statement of Changes in Equity, Others - Consolidated financial statements",dart_all_2024-06-30.xsd,
42,dart_2024-06-30_role-DX220000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX220000,link:presentationLink link:calculationLink link:definitionLink ,"[DX220000] 재무상태표, 기타 - 연결 | Statement of Financial Position, Others - Consolidated financial statements",dart_all_2024-06-30.xsd,
43,dart_2024-06-30_role-DB220005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB220005,link:presentationLink link:calculationLink link:definitionLink ,"[DB220005] 재무상태표, 은행 - 별도 | Statement of Financial Position, Deposit Based - Separate financial statements",dart_all_2024-06-30.xsd,
44,dart_2024-06-30_role-DI220005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI220005,link:presentationLink link:calculationLink link:definitionLink ,"[DI220005] 재무상태표, 보험 - 별도 | Statement of Financial Position, Insurance Based - Separate financial statements",dart_all_2024-06-30.xsd,
