#,prefix,name,id,type,enumerations,substitutionGroup,balance,periodType,abstract,nillable,typedDomainRef,ext. enum domain,ext. enum linkrole,ext. enum headUsable,comment
5277,ifrs-full,ExplanationOfAdjustmentsThatWouldBeNecessaryToAchieveFairPresentation,ifrs-full_ExplanationOfAdjustmentsThatWouldBeNecessaryToAchieveFairPresentation,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5278,ifrs-full,ExplanationOfAmountOfAnyGainRecognisedAndLineItemInStatementOfComprehensiveIncomeInWhichGainIsRecognisedInBargainPurchase,ifrs-full_ExplanationOfAmountOfAnyGainRecognisedAndLineItemInStatementOfComprehensiveIncomeInWhichGainIsRecognisedInBargainPurchase,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5279,ifrs-full,ExplanationOfAmountReclassifiedBetweenProfitOrLossAndOtherComprehensiveIncomeApplyingOverlayApproach,ifrs-full_ExplanationOfAmountReclassifiedBetweenProfitOrLossAndOtherComprehensiveIncomeApplyingOverlayApproach,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5280,ifrs-full,ExplanationOfAnyChangesInRangeOfOutcomesUndiscountedAndReasonsForThoseChangesForContingentConsideration,ifrs-full_ExplanationOfAnyChangesInRangeOfOutcomesUndiscountedAndReasonsForThoseChangesForContingentConsideration,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5281,ifrs-full,ExplanationOfAnyChangesInRecognisedAmountsOfContingentConsideration,ifrs-full_ExplanationOfAnyChangesInRecognisedAmountsOfContingentConsideration,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5282,ifrs-full,ExplanationOfAssetsAcquiredByWayOfGovernmentGrantAndInitiallyRecognisedAtFairValue,ifrs-full_ExplanationOfAssetsAcquiredByWayOfGovernmentGrantAndInitiallyRecognisedAtFairValue,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5283,ifrs-full,ExplanationOfAssumptionAboutFutureWithSignificantRiskOfResultingInMaterialAdjustments,ifrs-full_ExplanationOfAssumptionAboutFutureWithSignificantRiskOfResultingInMaterialAdjustments,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5284,ifrs-full,ExplanationOfAssumptionsToMeasureInsuranceAssetsAndLiabilities,ifrs-full_ExplanationOfAssumptionsToMeasureInsuranceAssetsAndLiabilities,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5285,ifrs-full,ExplanationOfBasisOfPreparationOfUnadjustedComparativeInformation,ifrs-full_ExplanationOfBasisOfPreparationOfUnadjustedComparativeInformation,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5286,ifrs-full,ExplanationOfBodyOfAuthorisation,ifrs-full_ExplanationOfBodyOfAuthorisation,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5287,ifrs-full,ExplanationOfChangeInActivitiesThatPermittedInsurerToReassessWhetherItsActivitiesArePredominantlyConnectedWithInsurance,ifrs-full_ExplanationOfChangeInActivitiesThatPermittedInsurerToReassessWhetherItsActivitiesArePredominantlyConnectedWithInsurance,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5288,ifrs-full,ExplanationOfChangeInActivitiesThatResultedInInsurerNoLongerQualifyingToApplyTemporaryExemptionFromIFRS9,ifrs-full_ExplanationOfChangeInActivitiesThatResultedInInsurerNoLongerQualifyingToApplyTemporaryExemptionFromIFRS9,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5289,ifrs-full,ExplanationOfChangeInBusinessModelForManagingFinancialAssets,ifrs-full_ExplanationOfChangeInBusinessModelForManagingFinancialAssets,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5290,ifrs-full,ExplanationOfChangeInNameOfReportingEntityOrOtherMeansOfIdentificationFromEndOfPrecedingReportingPeriod,ifrs-full_ExplanationOfChangeInNameOfReportingEntityOrOtherMeansOfIdentificationFromEndOfPrecedingReportingPeriod,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5291,ifrs-full,ExplanationOfChangesInApplicableTaxRatesToPreviousAccountingPeriod,ifrs-full_ExplanationOfChangesInApplicableTaxRatesToPreviousAccountingPeriod,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5292,ifrs-full,ExplanationOfChangesInDescriptionOfRetirementBenefitPlan,ifrs-full_ExplanationOfChangesInDescriptionOfRetirementBenefitPlan,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5293,ifrs-full,ExplanationOfContractualObligationsToPurchaseConstructOrDevelopInvestmentPropertyOrForRepairsMaintenanceOrEnhancements,ifrs-full_ExplanationOfContractualObligationsToPurchaseConstructOrDevelopInvestmentPropertyOrForRepairsMaintenanceOrEnhancements,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
