LinkRole,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,,,,,,,,,
Definition,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",,,,,,,,,
prefix,name,label,depth,order,priority,weight,parent,arcrole,systemid,comment
dart,AccumulatedImpairmentLossLotGross,"평가충당금, 용지",3,24.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,OtherInventoriesGross,"기타재고, 총액",3,25.0 ,0,1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossOtherInventoriesGross,"평가충당금, 기타재고",3,26.0 ,0,-1.0 ,ifrs-full:Inventories,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,OtherCurrentFinancialAssets,기타유동금융자산,2,7.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,CurrentAvailableForSaleFinancialAssets,유동매도가능금융자산,3,1.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,CurrentFinancialAssetsHeldToMaturity,유동만기보유금융자산,3,2.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,CurrentFinancialAssetHeldForTrading,유동단기매매금융자산,3,3.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,유동당기손익인식지정금융자산,3,4.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,CurrentDerivativeAsset,유동파생상품자산,3,5.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,CurrentFirmCommitmentAsset,유동확정계약자산,3,6.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정 유동금융자산,3,7.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CurrentInvestmentsInEquityInstrumentsDesignatedAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 지정 유동지분상품투자,3,8.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CurrentFinancialAssetsAtAmortisedCost,상각후원가로 측정하는 유동 금융자산,3,9.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,"유동 당기손익인식금융자산, 의무적으로 측정된 공정가치",3,10.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,최초인식시점 또는 그 이후에 지정된 유동 당기손익인식금융자산,3,11.0 ,0,1.0 ,ifrs-full:OtherCurrentFinancialAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,CurrentBiologicalAssetsGross,"유동생물자산, 총액",2,8.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,GovernmentGrantsCurrentBiologicalAssetsGross,"정부보조금, 유동생물자산",2,9.0 ,0,-1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedDepreciationCurrentBiologicalAssetsGross,"감가상각누계액, 유동생물자산",2,10.0 ,0,-1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossCurrentBiologicalAssetsGross,"손상차손누계액, 유동생물자산",2,11.0 ,0,-1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,OtherCurrentAssets,기타유동자산,2,12.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,CurrentEmissionRight,"유동배출권, 총액",3,1.0 ,0,1.0 ,ifrs-full:OtherCurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,GovernmentGrantsCurrentEmissionRight,"정부보조금, 유동배출권",3,2.0 ,0,-1.0 ,ifrs-full:OtherCurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AccumulatedImpairmentLossCurrentEmissionRight,"손상차손누계액, 유동배출권",3,3.0 ,0,-1.0 ,ifrs-full:OtherCurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,CurrentNoncashAssetsPledgedAsCollateralForWhichTransfereeHasRightByContractOrCustomToSellOrRepledgeCollateral,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 유동 비현금담보물,2,13.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,2,14.0 ,0,1.0 ,ifrs-full:CurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,NoncurrentAssets,비유동자산,1,2.0 ,0,1.0 ,ifrs-full:Assets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,2,1.0 ,0,1.0 ,ifrs-full:NoncurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,LongTermTradeAndOtherNonCurrentReceivablesGross,"장기매출채권 및 기타비유동채권, 총액",2,2.0 ,0,1.0 ,ifrs-full:NoncurrentAssets,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,LongTermTradeReceivablesGross,"장기매출채권, 총액",3,1.0 ,0,1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,PresentValueDiscountsLongTermTradeReceivablesGross,"현재가치할인차금, 장기매출채권",3,2.0 ,0,-1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountLongTermTradeReceivablesGross,"대손충당금, 장기매출채권",3,3.0 ,0,-1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
ifrs-full,NoncurrentFinanceLeaseReceivables,비유동 금융리스채권,3,4.0 ,0,1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,PresentValueDiscountsNoncurrentFinanceLeaseReceivable,"현재가치할인차금, 장기금융리스채권",3,5.0 ,0,-1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountNoncurrentFinanceLeaseReceivable,"대손충당금, 장기금융리스채권",3,6.0 ,0,-1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,LongTermDeferredAncillaryIncomeForLoans,"장기이연대출부대손익, 총액",3,7.0 ,0,1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,PresentValueDiscountsLongTermDeferredAncillaryIncomeForLoans,"현재가치할인차금, 장기이연대출부대손익",3,8.0 ,0,-1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,AllowanceForDoubtfulAcccountLongTermDeferredAncillaryIncomeForLoans,"대손충당금, 장기이연대출부대손익",3,9.0 ,0,-1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,LongTermOtherReceivablesGross,"장기미수금, 총액",3,10.0 ,0,1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
dart,PresentValueDiscountsLongTermOtherReceivablesGross,"현재가치할인차금, 장기미수금",3,11.0 ,0,-1.0 ,dart:LongTermTradeAndOtherNonCurrentReceivablesGross,http://www.xbrl.org/2003/arcrole/summation-item,dart_all_2024-06-30_cal.xml,
